index,Time,Location,Temperature,Brightness
0,12,1,0.279415498,0.279415498
1,13,1,0.518405003,0.518405003
2,14,1,0.722066063,0.722066063
3,15,1,0.876519514,0.876519514
4,16,1,0.971239609,0.971239609
5,17,1,0.99977133,0.99977133
6,18,1,0.960170287,0.960170287
7,19,1,0.855135225,0.855135225
8,20,1,0.691824111,0.691824111
9,21,1,0.481366327,0.481366327
10,22,1,0.238104224,0.238104224
11,23,1,-0.021384289,0
12,0,1,-0.279415498,0
13,1,1,-0.518405003,0
14,2,1,-0.722066063,0
15,3,1,-0.876519514,0
16,4,1,-0.971239609,0
17,5,1,-0.99977133,0
18,6,1,-0.960170287,0
19,7,1,-0.855135225,0
20,8,1,-0.691824111,0
21,9,1,-0.481366327,0
22,10,1,-0.238104224,0
23,11,1,0.021384289,0.021384289
24,12,1,0.279415498,0.279415498
25,13,1,0.518405003,0.518405003
26,14,1,0.722066063,0.722066063
27,15,1,0.876519514,0.876519514
28,16,1,0.971239609,0.971239609
29,17,1,0.99977133,0.99977133
30,18,1,0.960170287,0.960170287
31,19,1,0.855135225,0.855135225
32,20,1,0.691824111,0.691824111
33,21,1,0.481366327,0.481366327
34,22,1,0.238104224,0.238104224
35,23,1,-0.021384289,0
36,0,1,-0.279415498,0
37,1,1,-0.518405003,0
38,2,1,-0.722066063,0
39,3,1,-0.876519514,0
40,4,1,-0.971239609,0
41,5,1,-0.99977133,0
42,6,1,-0.960170287,0
43,7,1,-0.855135225,0
44,8,1,-0.691824111,0
45,9,1,-0.481366327,0
46,10,1,-0.238104224,0
47,11,1,0.021384289,0.021384289
48,12,1,0.279415498,0.279415498
49,13,1,0.518405003,0.518405003
50,14,1,0.722066063,0.722066063
51,15,1,0.876519514,0.876519514
52,16,1,0.971239609,0.971239609
53,17,1,0.99977133,0.99977133
54,18,1,0.960170287,0.960170287
55,19,1,0.855135225,0.855135225
56,20,1,0.691824111,0.691824111
57,21,1,0.481366327,0.481366327
58,22,1,0.238104224,0.238104224
59,23,1,-0.021384289,0
60,0,1,-0.279415498,0
61,1,1,-0.518405003,0
62,2,1,-0.722066063,0
63,3,1,-0.876519514,0
64,4,1,-0.971239609,0
65,5,1,-0.99977133,0
66,6,1,-0.960170287,0
67,7,1,-0.855135225,0
68,8,1,-0.691824111,0
69,9,1,-0.481366327,0
70,10,1,-0.238104224,0
71,11,1,0.021384289,0.021384289
72,12,1,0.279415498,0.279415498
73,13,1,0.518405003,0.518405003
74,14,1,0.722066063,0.722066063
75,15,1,0.876519514,0.876519514
76,16,1,0.971239609,0.971239609
77,17,1,0.99977133,0.99977133
78,18,1,0.960170287,0.960170287
79,19,1,0.855135225,0.855135225
80,20,1,0.691824111,0.691824111
81,21,1,0.481366327,0.481366327
82,22,1,0.238104224,0.238104224
83,23,1,-0.021384289,0
84,0,1,-0.279415498,0
85,1,1,-0.518405003,0
86,2,1,-0.722066063,0
87,3,1,-0.876519514,0
88,4,1,-0.971239609,0
89,5,1,-0.99977133,0
90,6,1,-0.960170287,0
91,7,1,-0.855135225,0
92,8,1,-0.691824111,0
93,9,1,-0.481366327,0
94,10,1,-0.238104224,0
95,11,1,0.021384289,0.021384289
96,12,1,0.279415498,0.279415498
97,13,1,0.518405003,0.518405003
98,14,1,0.722066063,0.722066063
99,15,1,0.876519514,0.876519514
100,16,1,0.971239609,0.971239609
101,17,1,0.99977133,0.99977133
102,18,1,0.960170287,0.960170287
103,19,1,0.855135225,0.855135225
104,20,1,0.691824111,0.691824111
105,21,1,0.481366327,0.481366327
106,22,1,0.238104224,0.238104224
107,23,1,-0.021384289,0
108,0,1,-0.279415498,0
109,1,1,-0.518405003,0
110,2,1,-0.722066063,0
111,3,1,-0.876519514,0
112,4,1,-0.971239609,0
113,5,1,-0.99977133,0
114,6,1,-0.960170287,0
115,7,1,-0.855135225,0
116,8,1,-0.691824111,0
117,9,1,-0.481366327,0
118,10,1,-0.238104224,0
119,11,1,0.021384289,0.021384289
120,12,1,0.279415498,0.279415498
121,13,1,0.518405003,0.518405003
122,14,1,0.722066063,0.722066063
123,15,1,0.876519514,0.876519514
124,16,1,0.971239609,0.971239609
125,17,1,0.99977133,0.99977133
126,18,1,0.960170287,0.960170287
127,19,1,0.855135225,0.855135225
128,20,1,0.691824111,0.691824111
129,21,1,0.481366327,0.481366327
130,22,1,0.238104224,0.238104224
131,23,1,-0.021384289,0
132,0,1,-0.279415498,0
133,1,1,-0.518405003,0
134,2,1,-0.722066063,0
135,3,1,-0.876519514,0
136,4,1,-0.971239609,0
137,5,1,-0.99977133,0
138,6,1,-0.960170287,0
139,7,1,-0.855135225,0
140,8,1,-0.691824111,0
141,9,1,-0.481366327,0
142,10,1,-0.238104224,0
143,11,1,0.021384289,0.021384289
144,12,1,0.279415498,0.279415498
145,13,1,0.518405003,0.518405003
146,14,1,0.722066063,0.722066063
147,15,1,0.876519514,0.876519514
148,16,1,0.971239609,0.971239609
149,17,1,0.99977133,0.99977133
150,18,1,0.960170287,0.960170287
151,19,1,0.855135225,0.855135225
152,20,1,0.691824111,0.691824111
153,21,1,0.481366327,0.481366327
154,22,1,0.238104224,0.238104224
155,23,1,-0.021384289,0
156,0,1,-0.279415498,0
157,1,1,-0.518405003,0
158,2,1,-0.722066063,0
159,3,1,-0.876519514,0
160,4,1,-0.971239609,0
161,5,1,-0.99977133,0
162,6,1,-0.960170287,0
163,7,1,-0.855135225,0
